property_id,date,event_type,severity,damage_value
PROP_00164,2020-03-01,Flood,Minor,5827770
PROP_00178,2020-03-01,Storm,Moderate,554377
PROP_00184,2020-03-01,Hail,Minor,1044011
PROP_00200,2020-03-01,Flood,Minor,369588
PROP_00203,2020-03-01,Storm,Minor,150838
PROP_00208,2020-03-01,Flood,Severe,1046466
PROP_00222,2020-03-01,Flood,Severe,1206673
PROP_00225,2020-03-01,Flood,Severe,115834
PROP_00238,2020-03-01,Flood,Severe,426815
PROP_00252,2020-03-01,Flood,Moderate,1051646
PROP_00256,2020-03-01,Flood,Moderate,682963
PROP_00268,2020-03-01,Flood,Minor,3207790
PROP_00300,2020-03-01,Flood,Minor,853149
PROP_00312,2020-03-01,Flood,Minor,1674755
PROP_00321,2020-03-01,Flood,Minor,3250928
PROP_00330,2020-03-01,Storm,Minor,4679268
PROP_00343,2020-03-01,Flood,Moderate,288550
PROP_00346,2020-03-01,Flood,Moderate,4410274
PROP_00385,2020-03-01,Storm,Minor,425461
PROP_00401,2020-03-01,Flood,Minor,1575366
PROP_00419,2020-03-01,Flood,Severe,982323
PROP_00434,2020-03-01,Storm,Minor,198191
PROP_00436,2020-03-01,Flood,Minor,2614635
PROP_00443,2020-03-01,Flood,Moderate,1123821
PROP_00518,2020-03-01,Flood,Moderate,508299
PROP_00522,2020-03-01,Flood,Severe,2246127
PROP_00537,2020-03-01,Flood,Minor,838302
PROP_00563,2020-03-01,Flood,Moderate,96795
PROP_00566,2020-03-01,Flood,Minor,610490
PROP_00597,2020-03-01,Flood,Severe,1168907
PROP_00603,2020-03-01,Hail,Severe,1088205
PROP_00613,2020-03-01,Hail,Moderate,2044194
PROP_00617,2020-03-01,Flood,Minor,270775
PROP_00618,2020-03-01,Storm,Minor,519510
PROP_00631,2020-03-01,Flood,Severe,1357619
PROP_00632,2020-03-01,Storm,Minor,119304
PROP_00636,2020-03-01,Hail,Severe,675350
PROP_00645,2020-03-01,Storm,Minor,145461
PROP_00646,2020-03-01,Storm,Moderate,1598813
PROP_00648,2020-03-01,Flood,Minor,1070655
PROP_00650,2020-03-01,Flood,Severe,1296999
PROP_00654,2020-03-01,Storm,Minor,1499048
PROP_00672,2020-03-01,Flood,Moderate,615442
PROP_00681,2020-03-01,Storm,Moderate,826073
PROP_00689,2020-03-01,Hail,Moderate,1825350
PROP_00716,2020-03-01,Flood,Moderate,2271168
PROP_00739,2020-03-01,Flood,Moderate,2747150
PROP_00750,2020-03-01,Flood,Severe,1566538
PROP_00773,2020-03-01,Storm,Moderate,14167229
PROP_00774,2020-03-01,Storm,Severe,1311159
PROP_00793,2020-03-01,Flood,Minor,1430408
PROP_00794,2020-03-01,Flood,Minor,2217780
PROP_00802,2020-03-01,Hail,Minor,1074123
PROP_00818,2020-03-01,Storm,Minor,1944944
PROP_00820,2020-03-01,Flood,Moderate,1032032
PROP_00827,2020-03-01,Hail,Minor,3534685
PROP_00829,2020-03-01,Hail,Moderate,926982
PROP_00867,2020-03-01,Flood,Moderate,742347
PROP_00868,2020-03-01,Flood,Minor,1029984
PROP_00871,2020-03-01,Flood,Minor,1925241
PROP_00892,2020-03-01,Flood,Moderate,822356
PROP_00901,2020-03-01,Flood,Minor,2816324
PROP_00911,2020-03-01,Hail,Moderate,1040292
PROP_00920,2020-03-01,Storm,Severe,1086550
PROP_00926,2020-03-01,Flood,Severe,3297662
PROP_00929,2020-03-01,Hail,Minor,5518351
PROP_00937,2020-03-01,Flood,Severe,478977
PROP_00953,2020-03-01,Hail,Minor,2033127
PROP_00958,2020-03-01,Flood,Moderate,634296
PROP_00966,2020-03-01,Flood,Minor,206583
PROP_00969,2020-03-01,Flood,Severe,1011036
PROP_00993,2020-03-01,Storm,Severe,2273803
PROP_00994,2020-03-01,Flood,Minor,1092214
PROP_00012,2020-03-31,Flood,Severe,245480
PROP_00028,2020-03-31,Flood,Moderate,181594
PROP_00036,2020-03-31,Storm,Severe,997327
PROP_00047,2020-03-31,Storm,Moderate,3252213
PROP_00059,2020-03-31,Flood,Minor,4087715
PROP_00061,2020-03-31,Hail,Minor,1444863
PROP_00098,2020-03-31,Storm,Minor,1591379
PROP_00114,2020-03-31,Flood,Severe,547766
PROP_00138,2020-03-31,Flood,Severe,4392970
PROP_00155,2020-03-31,Flood,Minor,1223758
PROP_00160,2020-03-31,Flood,Severe,1471850
PROP_00176,2020-03-31,Flood,Severe,1002308
PROP_00179,2020-03-31,Flood,Moderate,5339158
PROP_00191,2020-03-31,Storm,Minor,1925164
PROP_00193,2020-03-31,Storm,Moderate,2914611
PROP_00206,2020-03-31,Flood,Moderate,2472309
PROP_00210,2020-03-31,Flood,Moderate,1347817
PROP_00227,2020-03-31,Hail,Minor,2982332
PROP_00229,2020-03-31,Flood,Minor,4936097
PROP_00249,2020-03-31,Flood,Minor,2966397
PROP_00270,2020-03-31,Flood,Moderate,833312
PROP_00279,2020-03-31,Flood,Minor,413236
PROP_00282,2020-03-31,Flood,Severe,1544515
PROP_00284,2020-03-31,Storm,Moderate,578138
PROP_00288,2020-03-31,Hail,Minor,1979331
PROP_00295,2020-03-31,Flood,Minor,1195865
PROP_00319,2020-03-31,Hail,Severe,891287
PROP_00352,2020-03-31,Flood,Minor,1784379
PROP_00363,2020-03-31,Flood,Minor,1320872
PROP_00368,2020-03-31,Storm,Moderate,1105010
PROP_00377,2020-03-31,Flood,Minor,3930382
PROP_00398,2020-03-31,Flood,Severe,1234895
PROP_00401,2020-03-31,Storm,Minor,504222
PROP_00406,2020-03-31,Flood,Moderate,749948
PROP_00452,2020-03-31,Storm,Severe,767189
PROP_00454,2020-03-31,Flood,Minor,1171150
PROP_00462,2020-03-31,Storm,Moderate,2518951
PROP_00471,2020-03-31,Flood,Minor,624670
PROP_00499,2020-03-31,Flood,Severe,1560102
PROP_00506,2020-03-31,Storm,Minor,4919372
PROP_00511,2020-03-31,Flood,Severe,2079388
PROP_00519,2020-03-31,Storm,Minor,374458
PROP_00521,2020-03-31,Storm,Minor,233348
PROP_00531,2020-03-31,Flood,Minor,250443
PROP_00534,2020-03-31,Flood,Severe,708065
PROP_00563,2020-03-31,Flood,Minor,92090
PROP_00575,2020-03-31,Flood,Severe,1630639
PROP_00618,2020-03-31,Flood,Severe,1421736
PROP_00627,2020-03-31,Storm,Moderate,179032
PROP_00630,2020-03-31,Flood,Severe,769950
PROP_00633,2020-03-31,Flood,Minor,1134205
PROP_00636,2020-03-31,Flood,Moderate,2104437
PROP_00639,2020-03-31,Flood,Minor,548431
PROP_00651,2020-03-31,Hail,Moderate,1002245
PROP_00657,2020-03-31,Flood,Minor,128527
PROP_00658,2020-03-31,Hail,Minor,613496
PROP_00674,2020-03-31,Flood,Minor,1854301
PROP_00676,2020-03-31,Flood,Moderate,1480260
PROP_00678,2020-03-31,Hail,Severe,1985270
PROP_00684,2020-03-31,Flood,Severe,842005
PROP_00687,2020-03-31,Flood,Minor,1265462
PROP_00727,2020-03-31,Storm,Moderate,785777
PROP_00775,2020-03-31,Flood,Minor,1288822
PROP_00782,2020-03-31,Hail,Minor,1416203
PROP_00793,2020-03-31,Flood,Minor,687119
PROP_00794,2020-03-31,Flood,Minor,1256827
PROP_00822,2020-03-31,Flood,Moderate,2071881
PROP_00831,2020-03-31,Flood,Moderate,2269391
PROP_00836,2020-03-31,Flood,Moderate,1083071
PROP_00853,2020-03-31,Hail,Severe,1077395
PROP_00856,2020-03-31,Storm,Minor,1844784
PROP_00859,2020-03-31,Hail,Minor,3519222
PROP_00912,2020-03-31,Storm,Severe,929313
PROP_00931,2020-03-31,Hail,Severe,560986
PROP_00940,2020-03-31,Hail,Severe,1501526
PROP_00966,2020-03-31,Flood,Moderate,1135021
PROP_00967,2020-03-31,Hail,Minor,621287
PROP_00014,2020-04-30,Storm,Moderate,865562
PROP_00025,2020-04-30,Flood,Minor,1886182
PROP_00031,2020-04-30,Flood,Minor,1746679
PROP_00045,2020-04-30,Hail,Minor,639393
PROP_00051,2020-04-30,Flood,Moderate,995234
PROP_00060,2020-04-30,Hail,Moderate,1781415
PROP_00075,2020-04-30,Flood,Moderate,495804
PROP_00076,2020-04-30,Storm,Moderate,1469745
PROP_00080,2020-04-30,Flood,Minor,2325826
PROP_00087,2020-04-30,Flood,Moderate,3269631
PROP_00113,2020-04-30,Flood,Moderate,1010569
PROP_00138,2020-04-30,Flood,Minor,1603935
PROP_00139,2020-04-30,Flood,Minor,1066144
PROP_00144,2020-04-30,Flood,Severe,180691
PROP_00163,2020-04-30,Storm,Minor,736172
PROP_00175,2020-04-30,Flood,Moderate,1876828
PROP_00179,2020-04-30,Hail,Minor,5243214
PROP_00196,2020-04-30,Storm,Severe,2488832
PROP_00236,2020-04-30,Storm,Minor,1819983
PROP_00246,2020-04-30,Flood,Moderate,2809757
PROP_00249,2020-04-30,Storm,Minor,702510
PROP_00250,2020-04-30,Storm,Minor,560622
PROP_00253,2020-04-30,Flood,Minor,241774
PROP_00254,2020-04-30,Hail,Moderate,5944978
PROP_00264,2020-04-30,Storm,Moderate,1451346
PROP_00267,2020-04-30,Flood,Minor,1757182
PROP_00278,2020-04-30,Hail,Severe,1667895
PROP_00289,2020-04-30,Flood,Minor,249426
PROP_00328,2020-04-30,Flood,Minor,287820
PROP_00343,2020-04-30,Flood,Minor,677160
PROP_00349,2020-04-30,Flood,Minor,2695059
PROP_00353,2020-04-30,Storm,Severe,733000
PROP_00360,2020-04-30,Flood,Moderate,2697456
PROP_00369,2020-04-30,Flood,Minor,90865
PROP_00374,2020-04-30,Flood,Moderate,1505404
PROP_00375,2020-04-30,Hail,Minor,563232
PROP_00394,2020-04-30,Storm,Minor,1551795
PROP_00415,2020-04-30,Flood,Minor,1114484
PROP_00430,2020-04-30,Hail,Severe,272584
PROP_00432,2020-04-30,Hail,Moderate,302200
PROP_00457,2020-04-30,Flood,Minor,327465
PROP_00464,2020-04-30,Flood,Minor,123226
PROP_00477,2020-04-30,Hail,Minor,393376
PROP_00484,2020-04-30,Hail,Minor,394152
PROP_00485,2020-04-30,Flood,Moderate,462482
PROP_00501,2020-04-30,Storm,Minor,99207
PROP_00511,2020-04-30,Flood,Severe,2214571
PROP_00513,2020-04-30,Flood,Moderate,385214
PROP_00514,2020-04-30,Storm,Moderate,379217
PROP_00516,2020-04-30,Flood,Minor,1735174
PROP_00517,2020-04-30,Flood,Severe,204652
PROP_00535,2020-04-30,Flood,Minor,699676
PROP_00540,2020-04-30,Flood,Severe,1535801
PROP_00542,2020-04-30,Storm,Moderate,540816
PROP_00544,2020-04-30,Storm,Minor,1431236
PROP_00548,2020-04-30,Flood,Moderate,3668038
PROP_00555,2020-04-30,Hail,Moderate,245863
PROP_00573,2020-04-30,Flood,Minor,1180852
PROP_00580,2020-04-30,Flood,Moderate,687747
PROP_00604,2020-04-30,Flood,Moderate,1071739
PROP_00607,2020-04-30,Flood,Severe,943091
PROP_00639,2020-04-30,Flood,Minor,559357
PROP_00640,2020-04-30,Storm,Minor,944091
PROP_00662,2020-04-30,Flood,Severe,842631
PROP_00670,2020-04-30,Flood,Moderate,723218
PROP_00673,2020-04-30,Storm,Severe,472149
PROP_00676,2020-04-30,Flood,Moderate,694376
PROP_00678,2020-04-30,Flood,Severe,2827269
PROP_00679,2020-04-30,Flood,Minor,1473786
PROP_00688,2020-04-30,Flood,Minor,805779
PROP_00713,2020-04-30,Storm,Minor,734827
PROP_00714,2020-04-30,Flood,Minor,212545
PROP_00728,2020-04-30,Storm,Moderate,1667401
PROP_00740,2020-04-30,Flood,Minor,2348912
PROP_00743,2020-04-30,Hail,Minor,1196160
PROP_00752,2020-04-30,Flood,Moderate,747367
PROP_00767,2020-04-30,Storm,Severe,1677564
PROP_00776,2020-04-30,Flood,Moderate,984031
PROP_00780,2020-04-30,Storm,Minor,2204453
PROP_00838,2020-04-30,Storm,Minor,4978904
PROP_00874,2020-04-30,Flood,Severe,2548082
PROP_00879,2020-04-30,Storm,Moderate,981492
PROP_00889,2020-04-30,Flood,Minor,1181290
PROP_00917,2020-04-30,Flood,Minor,2046531
PROP_00935,2020-04-30,Hail,Moderate,3102631
PROP_00938,2020-04-30,Flood,Moderate,2394387
PROP_00942,2020-04-30,Flood,Minor,1939517
PROP_00947,2020-04-30,Hail,Moderate,1148987
PROP_00959,2020-04-30,Flood,Moderate,1019862
PROP_00967,2020-04-30,Storm,Severe,1294454
PROP_00974,2020-04-30,Hail,Minor,3958781
PROP_00980,2020-04-30,Hail,Moderate,4336081
PROP_00020,2020-05-30,Storm,Moderate,1099785
PROP_00022,2020-05-30,Flood,Severe,532785
PROP_00023,2020-05-30,Storm,Severe,501643
PROP_00034,2020-05-30,Flood,Minor,2455453
PROP_00035,2020-05-30,Flood,Minor,1175539
PROP_00040,2020-05-30,Hail,Minor,1095710
PROP_00042,2020-05-30,Storm,Minor,1572950
PROP_00055,2020-05-30,Hail,Severe,1115915
PROP_00079,2020-05-30,Storm,Severe,3771285
PROP_00088,2020-05-30,Storm,Minor,484959
PROP_00090,2020-05-30,Flood,Minor,954540
PROP_00100,2020-05-30,Flood,Moderate,1517985
PROP_00125,2020-05-30,Hail,Severe,3557126
PROP_00129,2020-05-30,Storm,Minor,2076691
PROP_00144,2020-05-30,Flood,Minor,286871
PROP_00164,2020-05-30,Flood,Minor,5577111
PROP_00170,2020-05-30,Hail,Moderate,1301847
PROP_00187,2020-05-30,Hail,Minor,560096
PROP_00188,2020-05-30,Hail,Minor,2579817
PROP_00204,2020-05-30,Flood,Moderate,604711
PROP_00208,2020-05-30,Flood,Severe,444271
PROP_00223,2020-05-30,Hail,Severe,1218240
PROP_00233,2020-05-30,Flood,Moderate,552399
PROP_00259,2020-05-30,Storm,Minor,870091
PROP_00271,2020-05-30,Hail,Minor,1408638
PROP_00280,2020-05-30,Storm,Moderate,1875609
PROP_00302,2020-05-30,Flood,Moderate,3771775
PROP_00309,2020-05-30,Flood,Severe,1810993
PROP_00322,2020-05-30,Flood,Minor,952768
PROP_00348,2020-05-30,Storm,Minor,7038446
PROP_00349,2020-05-30,Flood,Minor,1897455
PROP_00366,2020-05-30,Storm,Moderate,274714
PROP_00367,2020-05-30,Storm,Minor,511656
PROP_00383,2020-05-30,Hail,Minor,1281060
PROP_00385,2020-05-30,Flood,Moderate,283473
PROP_00393,2020-05-30,Hail,Severe,332617
PROP_00397,2020-05-30,Flood,Minor,1654523
PROP_00400,2020-05-30,Storm,Minor,1022085
PROP_00401,2020-05-30,Flood,Minor,2078766
PROP_00409,2020-05-30,Flood,Minor,245835
PROP_00413,2020-05-30,Flood,Minor,836889
PROP_00419,2020-05-30,Flood,Moderate,169280
PROP_00427,2020-05-30,Hail,Moderate,1930653
PROP_00432,2020-05-30,Flood,Minor,1484375
PROP_00433,2020-05-30,Flood,Severe,345708
PROP_00442,2020-05-30,Storm,Severe,3117861
PROP_00446,2020-05-30,Storm,Moderate,1373140
PROP_00457,2020-05-30,Hail,Severe,584939
PROP_00464,2020-05-30,Hail,Moderate,853509
PROP_00474,2020-05-30,Storm,Minor,2370348
PROP_00478,2020-05-30,Storm,Minor,324038
PROP_00482,2020-05-30,Storm,Moderate,506397
PROP_00497,2020-05-30,Flood,Minor,1924076
PROP_00498,2020-05-30,Flood,Severe,1232507
PROP_00513,2020-05-30,Storm,Moderate,875449
PROP_00516,2020-05-30,Hail,Severe,1163834
PROP_00521,2020-05-30,Flood,Severe,652751
PROP_00540,2020-05-30,Storm,Minor,1648560
PROP_00550,2020-05-30,Hail,Minor,451732
PROP_00556,2020-05-30,Storm,Minor,1569837
PROP_00557,2020-05-30,Storm,Moderate,689490
PROP_00580,2020-05-30,Flood,Minor,2454214
PROP_00592,2020-05-30,Hail,Minor,3144389
PROP_00595,2020-05-30,Hail,Minor,1306871
PROP_00600,2020-05-30,Flood,Minor,914112
PROP_00611,2020-05-30,Hail,Severe,3145592
PROP_00616,2020-05-30,Storm,Minor,107358
PROP_00632,2020-05-30,Flood,Minor,1863618
PROP_00637,2020-05-30,Flood,Moderate,1467181
PROP_00643,2020-05-30,Flood,Minor,1383534
PROP_00646,2020-05-30,Flood,Moderate,694008
PROP_00649,2020-05-30,Flood,Minor,136151
PROP_00665,2020-05-30,Storm,Moderate,2285833
PROP_00671,2020-05-30,Hail,Severe,338306
PROP_00677,2020-05-30,Flood,Moderate,473011
PROP_00681,2020-05-30,Flood,Moderate,849196
PROP_00693,2020-05-30,Flood,Moderate,1352972
PROP_00699,2020-05-30,Hail,Minor,992597
PROP_00704,2020-05-30,Flood,Severe,1173532
PROP_00720,2020-05-30,Storm,Severe,268141
PROP_00752,2020-05-30,Flood,Moderate,238889
PROP_00762,2020-05-30,Storm,Minor,3325657
PROP_00765,2020-05-30,Storm,Severe,933154
PROP_00769,2020-05-30,Storm,Moderate,1964027
PROP_00776,2020-05-30,Flood,Moderate,4458607
PROP_00788,2020-05-30,Flood,Moderate,2395298
PROP_00791,2020-05-30,Hail,Moderate,1002415
PROP_00793,2020-05-30,Storm,Moderate,1669913
PROP_00797,2020-05-30,Storm,Moderate,2119436
PROP_00819,2020-05-30,Hail,Severe,462042
PROP_00820,2020-05-30,Flood,Minor,319943
PROP_00824,2020-05-30,Hail,Moderate,1035526
PROP_00829,2020-05-30,Hail,Severe,214858
PROP_00835,2020-05-30,Storm,Moderate,841195
PROP_00842,2020-05-30,Flood,Moderate,110139
PROP_00851,2020-05-30,Flood,Minor,907178
PROP_00879,2020-05-30,Flood,Minor,1341726
PROP_00898,2020-05-30,Hail,Minor,523594
PROP_00903,2020-05-30,Flood,Moderate,210461
PROP_00919,2020-05-30,Storm,Minor,1625074
PROP_00948,2020-05-30,Flood,Severe,683063
PROP_00950,2020-05-30,Storm,Minor,69940
PROP_00972,2020-05-30,Storm,Moderate,2302129
PROP_00973,2020-05-30,Hail,Severe,1065881
PROP_00984,2020-05-30,Storm,Minor,1333505
PROP_00988,2020-05-30,Storm,Moderate,1088838
PROP_00991,2020-05-30,Flood,Minor,511034
PROP_00993,2020-05-30,Flood,Minor,1652568
PROP_00994,2020-05-30,Storm,Severe,1031348
PROP_00005,2020-06-29,Flood,Minor,1268301
PROP_00051,2020-06-29,Flood,Minor,2504614
PROP_00132,2020-06-29,Flood,Minor,1699166
PROP_00209,2020-06-29,Hail,Moderate,2879011
PROP_00303,2020-06-29,Flood,Severe,1813579
PROP_00385,2020-06-29,Flood,Minor,595586
PROP_00427,2020-06-29,Storm,Moderate,492400
PROP_00481,2020-06-29,Hail,Minor,4389340
PROP_00519,2020-06-29,Storm,Moderate,771465
PROP_00525,2020-06-29,Hail,Moderate,3978028
PROP_00526,2020-06-29,Storm,Severe,854270
PROP_00620,2020-06-29,Storm,Moderate,760533
PROP_00780,2020-06-29,Hail,Minor,111443
PROP_00030,2020-07-29,Flood,Moderate,1854548
PROP_00149,2020-07-29,Flood,Minor,1192127
PROP_00202,2020-07-29,Storm,Minor,361916
PROP_00217,2020-07-29,Flood,Moderate,882506
PROP_00225,2020-07-29,Hail,Minor,1558024
PROP_00325,2020-07-29,Flood,Minor,2524995
PROP_00340,2020-07-29,Storm,Minor,1061531
PROP_00341,2020-07-29,Flood,Moderate,217817
PROP_00351,2020-07-29,Flood,Moderate,381061
PROP_00474,2020-07-29,Hail,Moderate,675997
PROP_00487,2020-07-29,Storm,Moderate,4785792
PROP_00523,2020-07-29,Flood,Minor,2413876
PROP_00586,2020-07-29,Storm,Minor,436062
PROP_00616,2020-07-29,Flood,Minor,396475
PROP_00781,2020-07-29,Flood,Minor,3672717
PROP_00817,2020-07-29,Flood,Minor,3123460
PROP_00819,2020-07-29,Hail,Minor,381303
PROP_00827,2020-07-29,Flood,Severe,3735906
PROP_00983,2020-07-29,Hail,Moderate,768720
PROP_00082,2020-08-28,Flood,Minor,2698611
PROP_00095,2020-08-28,Flood,Moderate,247286
PROP_00164,2020-08-28,Flood,Moderate,1547322
PROP_00167,2020-08-28,Flood,Moderate,1545315
PROP_00198,2020-08-28,Flood,Minor,121608
PROP_00269,2020-08-28,Hail,Moderate,889629
PROP_00270,2020-08-28,Flood,Minor,127478
PROP_00308,2020-08-28,Hail,Moderate,1769559
PROP_00340,2020-08-28,Flood,Minor,1217153
PROP_00415,2020-08-28,Flood,Moderate,214750
PROP_00434,2020-08-28,Flood,Minor,344901
PROP_00500,2020-08-28,Flood,Moderate,684512
PROP_00539,2020-08-28,Flood,Severe,976915
PROP_00681,2020-08-28,Storm,Moderate,236452
PROP_00690,2020-08-28,Storm,Minor,1972505
PROP_00724,2020-08-28,Flood,Minor,1559752
PROP_00738,2020-08-28,Storm,Minor,778001
PROP_00752,2020-08-28,Hail,Severe,453011
PROP_00812,2020-08-28,Flood,Minor,8257842
PROP_00866,2020-08-28,Storm,Minor,1958863
PROP_00872,2020-08-28,Storm,Moderate,1285825
PROP_00907,2020-08-28,Hail,Moderate,837031
PROP_00953,2020-08-28,Flood,Moderate,2865570
PROP_00977,2020-08-28,Flood,Severe,987059
PROP_00988,2020-08-28,Flood,Minor,237248
PROP_00012,2020-09-27,Hail,Minor,1179816
PROP_00033,2020-09-27,Flood,Moderate,1243786
PROP_00127,2020-09-27,Flood,Minor,299549
PROP_00165,2020-09-27,Storm,Severe,342489
PROP_00172,2020-09-27,Flood,Minor,1171008
PROP_00194,2020-09-27,Flood,Minor,2192004
PROP_00232,2020-09-27,Flood,Severe,4018876
PROP_00273,2020-09-27,Flood,Minor,2375097
PROP_00531,2020-09-27,Storm,Moderate,2877106
PROP_00543,2020-09-27,Flood,Severe,1579740
PROP_00567,2020-09-27,Hail,Minor,1083603
PROP_00604,2020-09-27,Hail,Severe,3300760
PROP_00766,2020-09-27,Hail,Minor,2131305
PROP_00767,2020-09-27,Flood,Minor,308476
PROP_00932,2020-09-27,Storm,Minor,475339
PROP_00943,2020-09-27,Flood,Moderate,2470502
PROP_00017,2020-10-27,Hail,Minor,633013
PROP_00023,2020-10-27,Flood,Severe,190663
PROP_00030,2020-10-27,Hail,Moderate,1095500
PROP_00035,2020-10-27,Hail,Minor,2229893
PROP_00040,2020-10-27,Storm,Severe,1383460
PROP_00052,2020-10-27,Storm,Moderate,2014534
PROP_00076,2020-10-27,Flood,Moderate,1755364
PROP_00095,2020-10-27,Storm,Moderate,1084169
PROP_00099,2020-10-27,Flood,Minor,1644901
PROP_00102,2020-10-27,Flood,Minor,669243
PROP_00105,2020-10-27,Hail,Minor,2466888
PROP_00112,2020-10-27,Hail,Minor,224337
PROP_00114,2020-10-27,Flood,Moderate,1642954
PROP_00117,2020-10-27,Flood,Severe,4534477
PROP_00127,2020-10-27,Flood,Minor,590767
PROP_00137,2020-10-27,Hail,Minor,448547
PROP_00151,2020-10-27,Flood,Minor,1533516
PROP_00176,2020-10-27,Flood,Minor,1278858
PROP_00195,2020-10-27,Hail,Minor,311412
PROP_00196,2020-10-27,Flood,Severe,1008137
PROP_00249,2020-10-27,Flood,Minor,248782
PROP_00258,2020-10-27,Flood,Moderate,2717852
PROP_00307,2020-10-27,Flood,Moderate,726502
PROP_00315,2020-10-27,Storm,Severe,1289076
PROP_00339,2020-10-27,Storm,Minor,5165376
PROP_00354,2020-10-27,Hail,Minor,3127003
PROP_00367,2020-10-27,Flood,Moderate,2091176
PROP_00379,2020-10-27,Hail,Severe,2670517
PROP_00391,2020-10-27,Flood,Moderate,1718770
PROP_00392,2020-10-27,Flood,Minor,467480
PROP_00402,2020-10-27,Storm,Minor,1609256
PROP_00472,2020-10-27,Hail,Moderate,1464021
PROP_00473,2020-10-27,Storm,Minor,1622182
PROP_00483,2020-10-27,Hail,Moderate,1096903
PROP_00527,2020-10-27,Storm,Minor,747347
PROP_00531,2020-10-27,Flood,Severe,2790763
PROP_00533,2020-10-27,Flood,Minor,1053182
PROP_00542,2020-10-27,Hail,Minor,80273
PROP_00557,2020-10-27,Storm,Moderate,270445
PROP_00561,2020-10-27,Flood,Minor,745735
PROP_00577,2020-10-27,Flood,Minor,269662
PROP_00639,2020-10-27,Flood,Minor,1694174
PROP_00644,2020-10-27,Flood,Severe,5188027
PROP_00668,2020-10-27,Flood,Severe,2222824
PROP_00709,2020-10-27,Storm,Minor,2848513
PROP_00714,2020-10-27,Hail,Minor,752211
PROP_00717,2020-10-27,Flood,Minor,1835447
PROP_00737,2020-10-27,Storm,Severe,1457815
PROP_00743,2020-10-27,Flood,Minor,3064409
PROP_00750,2020-10-27,Storm,Minor,2255301
PROP_00765,2020-10-27,Flood,Severe,3088864
PROP_00802,2020-10-27,Flood,Minor,992588
PROP_00815,2020-10-27,Hail,Minor,2760261
PROP_00824,2020-10-27,Storm,Moderate,1104182
